,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2001-01-02,0.265625,-0.9621,0.119,0.817,0.064,0.265625,0.272321,0.26004499999999997,452312000.0
2001-01-03,0.29241100000000003,0.6322,0.084,0.817,0.098,0.258929,0.297991,0.257813,817073600.0
2001-01-04,0.304688,0.6648,0.077,0.843,0.08,0.32394,0.330357,0.300223,739396000.0
2001-01-05,0.29241100000000003,0.9032,0.105,0.746,0.149,0.30245500000000003,0.310268,0.28683000000000003,412356000.0
2001-01-08,0.295759,-0.9638,0.119,0.855,0.026,0.30245500000000003,0.303292,0.284598,373699200.0
2001-01-09,0.30691999999999997,-0.9559,0.121,0.822,0.056,0.300223,0.315011,0.295759,588929600.0
2001-01-10,0.295759,-0.5719,0.227,0.773,0.0,0.297991,0.303571,0.28683000000000003,580781600.0
2001-01-23,0.366071,0.9295,0.036,0.874,0.09,0.344866,0.373884,0.340402,879530400.0
2001-01-24,0.366071,-0.9039,0.096,0.864,0.04,0.368304,0.36941999999999997,0.34933000000000003,717091200.0
2001-01-25,0.356027,-0.9854,0.137,0.792,0.071,0.367188,0.367188,0.352679,489708800.0
2001-01-26,0.34933000000000003,0.8926,0.065,0.819,0.116,0.34821399999999997,0.35379499999999997,0.340402,482820800.0
2001-01-29,0.387277,0.9697,0.041,0.829,0.129,0.34933000000000003,0.388393,0.34933000000000003,855528800.0
2001-01-30,0.388393,-0.858,0.117,0.808,0.075,0.38504499999999997,0.392857,0.372768,692423200.0
2001-01-31,0.38616100000000003,-0.5591,0.096,0.843,0.061,0.383929,0.40178600000000003,0.382813,730704800.0
2001-02-01,0.377232,-0.8302,0.105,0.829,0.066,0.36941999999999997,0.383929,0.366071,369695200.0
2001-02-02,0.368304,0.9693,0.068,0.714,0.218,0.377232,0.391741,0.366071,427341600.0
2001-02-05,0.360491,0.5267,0.118,0.74,0.142,0.366071,0.367188,0.352679,286115200.0
2001-02-06,0.377232,0.765,0.064,0.832,0.104,0.359933,0.381975,0.357143,462711200.0
2001-02-07,0.37053600000000003,0.8388,0.06,0.813,0.127,0.36886199999999997,0.372768,0.35379499999999997,393887200.0
2001-02-08,0.37053600000000003,0.8924,0.046,0.826,0.128,0.367188,0.376116,0.360491,604128000.0
2001-02-09,0.341518,0.9647,0.069,0.777,0.154,0.366071,0.371652,0.33370500000000003,590083200.0
2001-02-12,0.351563,-0.9368,0.139,0.84,0.021,0.340402,0.357143,0.335938,274120000.0
2001-02-13,0.341518,-0.5802,0.141,0.744,0.115,0.356027,0.36495500000000003,0.33928600000000003,237070400.0
2001-02-14,0.34821399999999997,0.5293,0.05,0.908,0.042,0.342634,0.350446,0.330357,309120000.0
2001-02-15,0.358259,-0.6973,0.086,0.86,0.055,0.351563,0.367188,0.351563,311416000.0
2001-02-16,0.33928600000000003,-0.9628,0.19,0.7,0.111,0.33928600000000003,0.34821399999999997,0.334821,263911200.0
2001-02-21,0.337054,0.9673,0.044,0.821,0.135,0.325893,0.356027,0.325893,390258400.0
2001-02-22,0.335938,-0.9374,0.127,0.82,0.052,0.340402,0.345982,0.321429,431961600.0
2001-02-23,0.335938,0.498,0.095,0.801,0.104,0.33258899999999997,0.337054,0.325893,293865600.0
2001-02-26,0.34821399999999997,-0.961,0.137,0.818,0.045,0.340402,0.351563,0.331473,206438400.0
2001-02-27,0.345982,-0.4588,0.096,0.831,0.073,0.344308,0.347098,0.33370500000000003,348516000.0
2001-02-28,0.325893,-0.815,0.109,0.834,0.056,0.345982,0.347098,0.32366100000000003,508233600.0
2001-03-01,0.334821,0.9442,0.042,0.821,0.137,0.31808000000000003,0.334821,0.30691999999999997,330461600.0
2001-03-02,0.34375,0.0,0.0,1.0,0.0,0.327009,0.36495500000000003,0.325893,406201600.0
2001-03-05,0.36383899999999997,0.4767,0.0,0.392,0.608,0.345982,0.366071,0.34375,324172800.0
2001-03-09,0.361607,0.0,0.0,1.0,0.0,0.368304,0.36941999999999997,0.357143,299135200.0
2001-03-13,0.34933000000000003,-0.1531,0.444,0.556,0.0,0.337054,0.34933000000000003,0.324777,443329600.0
2001-03-14,0.36495500000000003,-0.8992,0.073,0.906,0.021,0.330357,0.366071,0.329241,477775200.0
2001-03-15,0.351563,-0.4592,0.061,0.885,0.054,0.372768,0.381696,0.351563,529317600.0
2001-03-16,0.350446,0.0,0.0,1.0,0.0,0.33928600000000003,0.362723,0.337054,470316000.0
2001-03-19,0.367188,0.7342,0.079,0.804,0.117,0.352679,0.368304,0.34821399999999997,356008800.0
2001-03-20,0.351563,0.2263,0.096,0.805,0.099,0.36997800000000003,0.373884,0.351563,499206400.0
2001-03-21,0.359375,-0.9491,0.123,0.839,0.038,0.35323699999999997,0.372768,0.345982,371375200.0
2001-03-22,0.38616100000000003,-0.9389,0.153,0.777,0.07,0.36383899999999997,0.388393,0.360491,723301600.0
2001-03-23,0.410714,0.9786,0.062,0.796,0.142,0.393973,0.420759,0.392857,944888000.0
2001-03-26,0.38892899999999997,0.2478,0.059,0.858,0.083,0.41303599999999996,0.42410699999999996,0.377321,734451200.0
2001-03-27,0.408393,-0.9305,0.109,0.867,0.024,0.391786,0.41160699999999995,0.391071,543821600.0
2001-03-28,0.395893,-0.9737,0.143,0.81,0.047,0.394286,0.40178600000000003,0.383929,584662400.0
2001-03-29,0.402321,-0.9321,0.114,0.841,0.044,0.38875,0.41875,0.383929,613065600.0
2001-03-30,0.39410700000000004,0.8606,0.1,0.771,0.129,0.402679,0.40571399999999996,0.381071,400349600.0
2001-04-04,0.34821399999999997,-0.5673,0.092,0.839,0.069,0.35285700000000003,0.361607,0.334821,685484800.0
2001-04-05,0.372679,-0.9595,0.199,0.679,0.122,0.367857,0.40178600000000003,0.357143,446762400.0
2001-04-06,0.367679,0.8169,0.029,0.888,0.083,0.371429,0.375714,0.35535700000000003,324889600.0
2001-04-09,0.366786,-0.4156,0.083,0.842,0.075,0.369464,0.381071,0.358214,266582400.0
2001-04-10,0.393571,-0.8012,0.097,0.845,0.058,0.373214,0.405357,0.371071,457374400.0
2001-04-11,0.389286,-0.7067,0.08,0.867,0.052,0.41035699999999997,0.410714,0.38,334096000.0
2001-04-12,0.400357,-0.471,0.078,0.867,0.055,0.3825,0.411071,0.377679,298933600.0
2001-04-16,0.382857,-0.8673,0.098,0.855,0.047,0.394464,0.4,0.3725,285224800.0
2001-04-17,0.364286,-0.8665,0.119,0.815,0.066,0.378571,0.37875,0.35,685199200.0
2001-04-18,0.406964,0.9543,0.055,0.808,0.136,0.385179,0.43,0.376429,1100842400.0
2001-04-19,0.45928599999999997,0.886,0.047,0.841,0.112,0.45625,0.459821,0.421429,1873670400.0
2001-04-20,0.447143,0.8392,0.081,0.8,0.119,0.445179,0.457679,0.43928599999999995,693403200.0
2001-04-23,0.433036,-0.9745,0.143,0.819,0.038,0.434643,0.446429,0.428571,541525600.0
2001-04-24,0.42910699999999996,-0.5267,0.089,0.864,0.047,0.434464,0.441964,0.419821,377137600.0
2001-04-25,0.441429,0.7891,0.061,0.842,0.097,0.432321,0.443929,0.420893,330780800.0
2001-04-26,0.44089300000000003,0.9222,0.036,0.85,0.114,0.44946400000000003,0.466071,0.44071400000000005,799696800.0
2001-04-27,0.46785699999999997,0.7887,0.1,0.763,0.136,0.45,0.46946400000000005,0.441964,453012000.0
2001-05-01,0.46303599999999995,-0.8053,0.136,0.769,0.095,0.45375,0.473214,0.45,427252000.0
2001-05-02,0.474821,-0.8674,0.143,0.766,0.091,0.47035699999999997,0.476786,0.46,368524800.0
2001-05-03,0.44571400000000005,0.858,0.066,0.793,0.141,0.46375,0.46875,0.44160699999999997,301543200.0
2001-05-04,0.459821,0.9363,0.021,0.85,0.129,0.432857,0.461607,0.427857,281052800.0
2001-05-07,0.44571400000000005,-0.9216,0.142,0.765,0.093,0.4575,0.46,0.443571,276550400.0
2001-05-08,0.43875,-0.9625,0.14,0.802,0.058,0.452679,0.45446400000000003,0.427679,315436800.0
2001-05-09,0.42821400000000004,-0.4404,0.11,0.792,0.098,0.431071,0.43839300000000003,0.42267899999999997,324889600.0
2001-05-10,0.410714,-0.1414,0.098,0.786,0.117,0.432321,0.4375,0.409821,288976800.0
2001-05-11,0.408036,-0.8379,0.117,0.779,0.104,0.410893,0.41946400000000006,0.406429,203044800.0
2001-05-14,0.415893,0.9295,0.093,0.772,0.136,0.40875,0.422857,0.40625,309220800.0
2001-05-15,0.413929,0.9091,0.043,0.83,0.126,0.417321,0.45535699999999996,0.411429,237025600.0
2001-05-16,0.430357,-0.4878,0.077,0.878,0.045,0.415357,0.4375,0.408036,322330400.0
2001-05-17,0.42053599999999997,-0.865,0.124,0.798,0.078,0.432679,0.434464,0.415179,332119200.0
2001-05-18,0.42017899999999997,0.4456,0.068,0.857,0.075,0.41714300000000004,0.42214300000000005,0.412857,159051200.0
2001-05-22,0.41964300000000004,-0.9907,0.134,0.8,0.066,0.428571,0.430893,0.417857,412916000.0
2001-05-25,0.406429,0.0772,0.0,0.606,0.394,0.414286,0.415893,0.40178600000000003,158743200.0
2001-05-29,0.383393,-0.9382,0.079,0.849,0.072,0.398571,0.40178600000000003,0.371607,515989600.0
2001-05-30,0.353214,0.5707,0.07,0.853,0.077,0.370714,0.370714,0.344643,777078400.0
2001-06-01,0.37303600000000003,0.0,0.0,1.0,0.0,0.359464,0.376607,0.356786,456075200.0
2001-06-04,0.368929,0.0,0.0,1.0,0.0,0.376429,0.37696399999999997,0.36535700000000004,281920800.0
2001-06-05,0.373929,0.25,0.4,0.0,0.6,0.371429,0.376786,0.36339299999999997,471794400.0
2001-06-07,0.386786,0.0,0.0,1.0,0.0,0.369821,0.3875,0.365179,325180800.0
2001-06-20,0.386964,-0.997,0.131,0.793,0.075,0.357143,0.390179,0.356786,431620000.0
2001-06-21,0.401607,-0.9179,0.157,0.738,0.105,0.384821,0.410714,0.376786,341331200.0
2001-06-22,0.3975,-0.9287,0.102,0.84,0.058,0.401429,0.410714,0.388571,286025600.0
2001-06-25,0.428393,0.9668,0.073,0.806,0.121,0.40178600000000003,0.428571,0.400893,439549600.0
2001-06-26,0.42410699999999996,0.9444,0.074,0.805,0.121,0.416786,0.424464,0.410893,272781600.0
2001-06-27,0.416786,-0.9927,0.142,0.783,0.076,0.42553599999999997,0.428571,0.40178600000000003,374130400.0
2001-06-28,0.420357,-0.9031,0.097,0.831,0.072,0.41160699999999995,0.426964,0.40964300000000003,348409600.0
2001-06-29,0.415179,-0.9751,0.136,0.782,0.082,0.4225,0.44821400000000006,0.414286,515390400.0
2001-07-02,0.42678599999999994,-0.5267,0.145,0.855,0.0,0.42214300000000005,0.432679,0.413214,230048000.0
2001-07-03,0.42571400000000004,-0.4767,0.188,0.626,0.186,0.419821,0.43178599999999995,0.41964300000000004,112543200.0
2001-07-05,0.41410699999999995,-0.8834,0.229,0.702,0.069,0.421429,0.424464,0.410893,152292000.0
2001-07-06,0.393393,-0.34,0.061,0.939,0.0,0.406429,0.41,0.387857,302920800.0
2001-07-09,0.405357,0.5689,0.098,0.786,0.116,0.394464,0.410714,0.38714299999999996,337467200.0
2001-07-10,0.3775,-0.9231,0.119,0.788,0.092,0.409821,0.41196400000000005,0.372143,395270400.0
2001-07-11,0.4025,-0.9807,0.101,0.864,0.035,0.37553600000000004,0.402679,0.375,470506400.0
2001-07-12,0.435,-0.967,0.136,0.826,0.037,0.416071,0.443036,0.416071,614801600.0
2001-07-13,0.44375,-0.987,0.124,0.778,0.099,0.430893,0.446607,0.42571400000000004,454742400.0
